city_ascii,lat,lng,country,iso2,iso3,population
Lithgow,-33.4833,150.15,Australia,AU,AUS,12973
Rutherford,-32.715,151.5317,Australia,AU,AUS,11884
Bowral,-34.4792,150.4181,Australia,AU,AUS,12949
Jimboomba,-27.8333,153.0333,Australia,AU,AUS,13201
Colac,-38.3403,143.5847,Australia,AU,AUS,12547
Dalby,-27.1833,151.2667,Australia,AU,AUS,12719
"Raymond Terrace",-32.7615,151.7441,Australia,AU,AUS,12820
Esperance,-33.8611,121.8919,Australia,AU,AUS,12145
Muswellbrook,-32.2654,150.8885,Australia,AU,AUS,12364
"Nelson Bay",-32.715,152.1511,Australia,AU,AUS,11820
Inverell,-29.7817,151.1178,Australia,AU,AUS,11660
Parkes,-33.095,148.2628,Australia,AU,AUS,11408
Drouin,-38.1333,145.85,Australia,AU,AUS,11887
"Swan Hill",-35.3333,143.55,Australia,AU,AUS,11103
Nambour,-26.6269,152.9592,Australia,AU,AUS,11187
Somerville,-38.226,145.177,Australia,AU,AUS,11336
Casino,-28.8483,153.0511,Australia,AU,AUS,10914
Mudgee,-32.6125,149.5872,Australia,AU,AUS,10923
Mareeba,-16.9833,145.4167,Australia,AU,AUS,11079
"Batemans Bay",-35.7081,150.1744,Australia,AU,AUS,11294
Gracemere,-23.4333,150.45,Australia,AU,AUS,11315
Samford,-27.3667,152.8833,Australia,AU,AUS,10931
Portland,-38.3333,141.6,Australia,AU,AUS,10900
Young,-34.3,148.3,Australia,AU,AUS,10295
Kingaroy,-26.5333,151.8333,Australia,AU,AUS,10398
"Kangaroo Flat",-36.8,144.25,Australia,AU,AUS,10394
"Mount Evelyn",-37.7833,145.3833,Australia,AU,AUS,9702
Bentley,-32.001,115.924,Australia,AU,AUS,8782
Cowra,-33.8183,148.6578,Australia,AU,AUS,10063
Hamilton,-37.7333,142.0167,Australia,AU,AUS,9974
Bowen,-20.0167,148.2333,Australia,AU,AUS,10377
Andergrove,-21.0931,149.186,Australia,AU,AUS,9419
Moree,-29.465,149.8344,Australia,AU,AUS,9311
Gunnedah,-30.9667,150.25,Australia,AU,AUS,9726
Leeton,-34.5483,146.4011,Australia,AU,AUS,8623
Mittagong,-34.45,150.45,Australia,AU,AUS,8999
Benalla,-36.5519,145.9817,Australia,AU,AUS,9298
"Emu Plains",-33.7483,150.6678,Australia,AU,AUS,8421
Wallan,-37.4167,144.9833,Australia,AU,AUS,8520
"Bli Bli",-26.618,153.037,Australia,AU,AUS,7801
"Moss Vale",-34.5483,150.3678,Australia,AU,AUS,8579
"Clifton Springs",-38.15,144.5667,Australia,AU,AUS,7519
Katoomba,-33.715,150.3128,Australia,AU,AUS,7964
Wollert,-37.597,145.033,Australia,AU,AUS,9060
Kelso,-33.4186,149.6056,Australia,AU,AUS,8968
Merrimac,-28.05,153.3667,Australia,AU,AUS,7071
Ayr,-19.5744,147.4066,Australia,AU,AUS,8738
Ararat,-37.2833,142.9167,Australia,AU,AUS,8300
"Charters Towers",-20.1,146.2667,Australia,AU,AUS,8120
Rye,-38.377,144.838,Australia,AU,AUS,8416
Moe,-38.1722,146.2678,Australia,AU,AUS,8778
Deniliquin,-35.5317,144.9344,Australia,AU,AUS,7862
Darley,-37.6547,144.437,Australia,AU,AUS,8372
Moranbah,-22.0016,148.0533,Australia,AU,AUS,8735
Forbes,-33.3833,148.0167,Australia,AU,AUS,8432
Maryborough,-37.05,143.735,Australia,AU,AUS,7921
Springwood,-33.6967,150.5683,Australia,AU,AUS,8475
Highfields,-27.4581,151.9492,Australia,AU,AUS,8131
Innisfail,-17.5236,146.0292,Australia,AU,AUS,7236
Mooroopna,-36.3833,145.35,Australia,AU,AUS,7942
Narrabri,-30.3317,149.7678,Australia,AU,AUS,7606
Lesmurdie,-31.994,116.05,Australia,AU,AUS,8437
Kilmore,-37.2833,144.95,Australia,AU,AUS,7958
Yarrawonga,-36.0167,146,Australia,AU,AUS,7930
Bargara,-24.8205,152.4625,Australia,AU,AUS,7485
Kiama,-34.6708,150.8542,Australia,AU,AUS,7700
Bongaree,-27.0814,153.1633,Australia,AU,AUS,6947
"Sanctuary Point",-35.1036,150.6267,Australia,AU,AUS,7225
Kyabram,-36.3167,145.05,Australia,AU,AUS,7321
Healesville,-37.6561,145.5139,Australia,AU,AUS,7461
Melton,-37.6833,144.5833,Australia,AU,AUS,8069
Burpengary,-27.1442,153,Australia,AU,AUS,6433
"Narre Warren North",-37.9833,145.3167,Australia,AU,AUS,7674
Mandurah,-32.5289,115.7231,Australia,AU,AUS,7837
Kyneton,-37.2333,144.45,Australia,AU,AUS,6951
Fremantle,-32.0569,115.7439,Australia,AU,AUS,7459
Collie,-33.363,116.156,Australia,AU,AUS,7192
"North Tamborine",-27.9694,153.1992,Australia,AU,AUS,7506
Cootamundra,-34.6417,148.025,Australia,AU,AUS,6782
Bairnsdale,-37.8333,147.6167,Australia,AU,AUS,7580
Urraween,-25.2955,152.8219,Australia,AU,AUS,6969
Castlemaine,-37.0636,144.2172,Australia,AU,AUS,6757
Blaxland,-33.7453,150.6175,Australia,AU,AUS,7451
Bomaderry,-34.848,150.605,Australia,AU,AUS,6661
Atherton,-17.2658,145.478,Australia,AU,AUS,7331
Tuncurry,-32.175,152.4989,Australia,AU,AUS,6186
Strathalbyn,-35.2667,138.9,Australia,AU,AUS,6504
Seymour,-37.03,145.13,Australia,AU,AUS,6327
Cannington,-32.0167,115.95,Australia,AU,AUS,5929
Wauchope,-31.465,152.7344,Australia,AU,AUS,6312
Helensburgh,-34.1833,151,Australia,AU,AUS,6383
Yass,-34.8203,148.9136,Australia,AU,AUS,6506
Gatton,-27.5611,152.2755,Australia,AU,AUS,7101
"Kurri Kurri",-32.8167,151.4833,Australia,AU,AUS,6044
Cooma,-36.235,149.1258,Australia,AU,AUS,6681
Nuriootpa,-34.4667,138.9833,Australia,AU,AUS,6314
Granville,-33.8578,151.0106,Australia,AU,AUS,5500
Tumut,-35.3047,148.2228,Australia,AU,AUS,6230
Cannonvale,-20.2863,148.6866,Australia,AU,AUS,5716
"Point Vernon",-25.2538,152.8177,Australia,AU,AUS,5699
"Nambucca Heads",-30.6414,152.9906,Australia,AU,AUS,6327
"North Mackay",-21.1216,149.1783,Australia,AU,AUS,5933
Roma,-26.5733,148.7869,Australia,AU,AUS,6848
Stawell,-37.05,142.7667,Australia,AU,AUS,6032
Beerwah,-26.8556,152.96,Australia,AU,AUS,6769
Northam,-31.6531,116.6661,Australia,AU,AUS,6548
"Mount Cotton",-27.6188,153.221,Australia,AU,AUS,6835
"Margaret River",-33.955,115.075,Australia,AU,AUS,6392
"Glen Innes",-29.75,151.7361,Australia,AU,AUS,6155
Yamba,-29.4333,153.35,Australia,AU,AUS,6076
Waterford,-27.6833,153.133,Australia,AU,AUS,6431
"Kiama Downs",-34.6317,150.8511,Australia,AU,AUS,5004
Chinchilla,-26.7397,150.625,Australia,AU,AUS,6612
Lysterfield,-37.9333,145.3,Australia,AU,AUS,6663
Cooranbong,-33.074,151.451,Australia,AU,AUS,5449
"Wentworth Falls",-33.7164,150.3772,Australia,AU,AUS,6076
Scone,-32.0833,150.85,Australia,AU,AUS,5624
Beaudesert,-27.988,152.9958,Australia,AU,AUS,6395
Dromana,-38.338,144.965,Australia,AU,AUS,5803
"West Tamworth",-31.0894,150.9436,Australia,AU,AUS,5342
"South Grafton",-29.715,152.9344,Australia,AU,AUS,6068
Kununurra,-15.7736,128.7386,Australia,AU,AUS,5308
Naracoorte,-36.955,140.7429,Australia,AU,AUS,5960
Corowa,-35.9833,146.3833,Australia,AU,AUS,5482
Woolgoolga,-30.115,153.2011,Australia,AU,AUS,5290
Goondiwindi,-28.5461,150.3097,Australia,AU,AUS,6355
Cobram,-35.9667,145.65,Australia,AU,AUS,6014
Maffra,-37.95,146.983,Australia,AU,AUS,5280
Tahmoor,-34.2233,150.5928,Australia,AU,AUS,5067
Woodend,-37.363,144.526,Australia,AU,AUS,5806
Inverloch,-38.6334,145.7278,Australia,AU,AUS,5437
Whittlesea,-37.5139,145.114,Australia,AU,AUS,5611
Emerald,-37.9331,145.437,Australia,AU,AUS,5778
Richmond,-33.5983,150.7511,Australia,AU,AUS,5482
Biloela,-24.4002,150.5133,Australia,AU,AUS,5758
Worragee,-34.9144,150.6386,Australia,AU,AUS,5068
Wingham,-31.85,152.367,Australia,AU,AUS,5374
Leongatha,-38.4833,145.95,Australia,AU,AUS,5119
Palmwoods,-26.6883,152.9597,Australia,AU,AUS,5676
Dunsborough,-33.6167,115.1,Australia,AU,AUS,5320
Irymple,-34.2333,142.1667,Australia,AU,AUS,5325
"Red Cliffs",-34.3075,142.1881,Australia,AU,AUS,5060
Bannockburn,-38.05,144.1667,Australia,AU,AUS,5283
Glenbrook,-33.765,150.6267,Australia,AU,AUS,5051
"Smithfield Heights",-16.8314,145.691,Australia,AU,AUS,5303
Sarina,-21.4225,149.2175,Australia,AU,AUS,5522
Wonthaggi,-38.6056,145.5917,Australia,AU,AUS,4965
Berri,-34.2833,140.6,Australia,AU,AUS,4103
"Howard Springs",-12.4922,131.053,Australia,AU,AUS,5132
"Tannum Sands",-23.9474,151.3675,Australia,AU,AUS,5145
"Victor Harbor",-35.55,138.6167,Australia,AU,AUS,4233
Ingham,-18.65,146.1667,Australia,AU,AUS,4357
Manjimup,-34.2411,116.1464,Australia,AU,AUS,4349
Carnarvon,-24.8672,113.6611,Australia,AU,AUS,4426
Narrogin,-32.936,117.178,Australia,AU,AUS,4274
Newman,-23.3539,119.7319,Australia,AU,AUS,4567
Merimbula,-36.8983,149.9011,Australia,AU,AUS,3544
Katanning,-33.6908,117.5553,Australia,AU,AUS,3687
Weipa,-12.6167,141.8667,Australia,AU,AUS,3899
Wallaroo,-33.9167,137.6167,Australia,AU,AUS,3988
"Central Coast",-33.42,151.3,Australia,AU,AUS,3026
Proserpine,-20.4017,148.5814,Australia,AU,AUS,3562
"Port Douglas",-16.4834,145.4652,Australia,AU,AUS,3504
Clare,-33.8333,138.6,Australia,AU,AUS,3160
"Tom Price",-22.6939,117.795,Australia,AU,AUS,3005
Charleville,-26.4016,146.2383,Australia,AU,AUS,3335
Cloncurry,-20.7,140.5,Australia,AU,AUS,2719
Bordertown,-36.3118,140.7702,Australia,AU,AUS,2953
Longreach,-23.4422,144.2491,Australia,AU,AUS,2970
Merredin,-31.482,118.279,Australia,AU,AUS,2850
Bourke,-30.0817,145.9511,Australia,AU,AUS,1909
Exmouth,-21.9331,114.1281,Australia,AU,AUS,2486
"Mount Barker",-34.63,117.6669,Australia,AU,AUS,1905
Wagin,-33.3167,117.35,Australia,AU,AUS,1824
"Kingston South East",-36.8167,139.85,Australia,AU,AUS,1648
"Tumby Bay",-34.3667,136.1,Australia,AU,AUS,1474
Kalbarri,-27.71,114.16,Australia,AU,AUS,1349
"Port Denison",-29.2833,114.9167,Australia,AU,AUS,1410
